Date,region,Cases,Mortalities,Recoveries
2020-04-26,Tabuk,4,0,0
2020-04-27,Al Bahah,0,0,3
2020-04-27,Al Jouf,1,0,0
2020-04-27,Asir,6,0,1
2020-04-27,Eastern Region,118,0,49
2020-04-27,Hail,1,0,0
2020-04-27,Jazan,1,0,0
2020-04-27,Mecca,634,8,54
2020-04-27,Medina,275,0,65
2020-04-27,Najran,0,0,0
2020-04-27,Northern Borders,0,0,0
2020-04-27,Qassim,8,0,0
2020-04-27,Riyadh,193,0,78
2020-04-27,Tabuk,29,0,3
2020-04-28,Al Bahah,5,0,12
2020-04-28,Al Jouf,0,0,1
2020-04-28,Asir,7,0,0
2020-04-28,Eastern Region,185,4,13
2020-04-28,Hail,0,0,0
2020-04-28,Jazan,43,0,0
2020-04-28,Mecca,592,1,123
2020-04-28,Medina,227,0,19
2020-04-28,Najran,1,0,0
2020-04-28,Northern Borders,0,0,1
2020-04-28,Qassim,43,0,0
2020-04-28,Riyadh,215,0,0
2020-04-28,Tabuk,7,0,0
2020-04-29,Al Bahah,1,0,0
2020-04-29,Al Jouf,0,0,2
2020-04-29,Asir,1,0,1
2020-04-29,Eastern Region,212,0,6
2020-04-29,Hail,2,0,0
2020-04-29,Jazan,0,0,1
2020-04-29,Mecca,538,4,112
2020-04-29,Medina,119,0,42
2020-04-29,Najran,0,0,0
2020-04-29,Northern Borders,1,0,0
2020-04-29,Qassim,12,0,3
2020-04-29,Riyadh,458,1,33
2020-04-29,Tabuk,7,0,10
2020-04-30,Al Bahah,6,0,0
2020-04-30,Al Jouf,0,0,0
2020-04-30,Asir,0,0,3
2020-04-30,Eastern Region,344,0,24
2020-04-30,Hail,2,0,0
2020-04-30,Jazan,37,0,0
2020-04-30,Mecca,377,7,22
2020-04-30,Medina,246,0,53
2020-04-30,Najran,0,0,0
2020-04-30,Northern Borders,2,0,0
2020-04-30,Qassim,12,0,0
2020-04-30,Riyadh,311,0,290
