Date,City,Cases,Mortalities,Recoveries
2020-03-19,Samodah,0,0,0
2020-03-19,Urayarah,0,0,0
2020-03-20,AL Oyoun,0,0,0
2020-03-20,Adh Dhibiyyah,0,0,0
2020-03-20,Al Batahaa,0,0,0
2020-03-20,Al Jafr,0,0,0
2020-03-20,Al Mubarraz,0,0,0
2020-03-20,Al Qaysomah,0,0,0
2020-03-20,Al Suyariah,0,0,0
2020-03-20,Ar Ruqi,0,0,0
2020-03-20,As Sufairy,0,0,0
2020-03-20,Bqeeq,0,0,0
2020-03-20,Dahran,1,0,0
2020-03-20,Dammam,1,0,0
2020-03-20,Hafr Al Batin,1,0,0
2020-03-20,Hardh,0,0,0
2020-03-20,Hufof,0,0,0
2020-03-20,Jubail,0,0,0
2020-03-20,Khafji,0,0,0
2020-03-20,Khobar,0,0,0
2020-03-20,Mulayjah,0,0,0
2020-03-20,Nairyah,0,0,0
2020-03-20,Qaryat Al Ulya,0,0,0
2020-03-20,Qatif,1,0,0
2020-03-20,Ras Tanura,0,0,0
2020-03-20,Safwa,0,0,0
2020-03-20,Saihat,0,0,0
2020-03-20,Salwa,0,0,0
2020-03-20,Samodah,0,0,0
2020-03-20,Urayarah,0,0,0
2020-03-21,AL Oyoun,0,0,0
2020-03-21,Adh Dhibiyyah,0,0,0
2020-03-21,Al Batahaa,0,0,0
2020-03-21,Al Jafr,0,0,0
2020-03-21,Al Mubarraz,0,0,0
2020-03-21,Al Qaysomah,0,0,0
2020-03-21,Al Suyariah,0,0,0
2020-03-21,Ar Ruqi,0,0,0
2020-03-21,As Sufairy,0,0,0
2020-03-21,Bqeeq,0,0,0
2020-03-21,Dahran,1,0,1
2020-03-21,Dammam,0,0,0
2020-03-21,Hafr Al Batin,0,0,0
2020-03-21,Hardh,0,0,0
2020-03-21,Hufof,2,0,0
2020-03-21,Jubail,0,0,0
2020-03-21,Khafji,0,0,0
2020-03-21,Khobar,0,0,0
2020-03-21,Mulayjah,0,0,0
2020-03-21,Nairyah,1,0,0
2020-03-21,Qaryat Al Ulya,0,0,0
2020-03-21,Qatif,1,0,1
2020-03-21,Ras Tanura,0,0,0
2020-03-21,Safwa,0,0,0
2020-03-21,Saihat,0,0,0
2020-03-21,Salwa,0,0,0
2020-03-21,Samodah,0,0,0
2020-03-21,Urayarah,0,0,0
2020-03-22,AL Oyoun,0,0,0
2020-03-22,Adh Dhibiyyah,0,0,0
2020-03-22,Al Batahaa,0,0,0
2020-03-22,Al Jafr,0,0,0
2020-03-22,Al Mubarraz,0,0,0
2020-03-22,Al Qaysomah,0,0,0
2020-03-22,Al Suyariah,0,0,0
2020-03-22,Ar Ruqi,0,0,0
2020-03-22,As Sufairy,0,0,0
2020-03-22,Bqeeq,0,0,0
2020-03-22,Dahran,1,0,0
2020-03-22,Dammam,1,0,0
2020-03-22,Hafr Al Batin,0,0,0
2020-03-22,Hardh,0,0,0
2020-03-22,Hufof,3,0,0
2020-03-22,Jubail,0,0,0
2020-03-22,Khafji,0,0,0
2020-03-22,Khobar,3,0,0
2020-03-22,Mulayjah,0,0,0
2020-03-22,Nairyah,0,0,0
2020-03-22,Qaryat Al Ulya,0,0,0
2020-03-22,Qatif,4,0,0
2020-03-22,Ras Tanura,0,0,0
2020-03-22,Safwa,0,0,0
2020-03-22,Saihat,0,0,0
2020-03-22,Salwa,0,0,0
2020-03-22,Samodah,0,0,0
2020-03-22,Urayarah,0,0,0
2020-03-23,AL Oyoun,0,0,0
2020-03-23,Adh Dhibiyyah,0,0,0
2020-03-23,Al Batahaa,0,0,0
2020-03-23,Al Jafr,0,0,0
2020-03-23,Al Mubarraz,0,0,0
2020-03-23,Al Qaysomah,0,0,0
2020-03-23,Al Suyariah,0,0,0
2020-03-23,Ar Ruqi,0,0,0
2020-03-23,As Sufairy,0,0,0
2020-03-23,Bqeeq,0,0,0
2020-03-23,Dahran,0,0,0
2020-03-23,Dammam,3,0,0
2020-03-23,Hafr Al Batin,0,0,0
2020-03-23,Hardh,0,0,0
2020-03-23,Hufof,0,0,0
2020-03-23,Jubail,0,0,0
2020-03-23,Khafji,0,0,0
2020-03-23,Khobar,0,0,0
2020-03-23,Mulayjah,0,0,0
2020-03-23,Nairyah,0,0,0
2020-03-23,Qaryat Al Ulya,0,0,0
2020-03-23,Qatif,3,0,0
2020-03-23,Ras Tanura,0,0,0
2020-03-23,Safwa,0,0,0
2020-03-23,Saihat,0,0,0
2020-03-23,Salwa,0,0,0
2020-03-23,Samodah,0,0,0
2020-03-23,Urayarah,0,0,0
2020-03-24,AL Oyoun,0,0,0
2020-03-24,Adh Dhibiyyah,0,0,0
2020-03-24,Al Batahaa,0,0,0
2020-03-24,Al Jafr,0,0,0
2020-03-24,Al Mubarraz,0,0,0
2020-03-24,Al Qaysomah,0,0,0
2020-03-24,Al Suyariah,0,0,0
2020-03-24,Ar Ruqi,0,0,0
2020-03-24,As Sufairy,0,0,0
2020-03-24,Bqeeq,0,0,0
2020-03-24,Dahran,2,0,0
2020-03-24,Dammam,6,0,0
2020-03-24,Hafr Al Batin,0,0,0
2020-03-24,Hardh,0,0,0
2020-03-24,Hufof,0,0,1
2020-03-24,Jubail,0,0,0
2020-03-24,Khafji,0,0,0
2020-03-24,Khobar,2,0,0
2020-03-24,Mulayjah,0,0,0
2020-03-24,Nairyah,0,0,0
2020-03-24,Qaryat Al Ulya,0,0,0
2020-03-24,Qatif,6,0,0
2020-03-24,Ras Tanura,0,0,0
2020-03-24,Safwa,0,0,0
2020-03-24,Saihat,0,0,0
2020-03-24,Salwa,0,0,0
2020-03-24,Samodah,0,0,0
2020-03-24,Urayarah,0,0,0
2020-03-25,AL Oyoun,0,0,0
2020-03-25,Adh Dhibiyyah,0,0,0
2020-03-25,Al Batahaa,0,0,0
2020-03-25,Al Jafr,0,0,0
2020-03-25,Al Mubarraz,0,0,0
2020-03-25,Al Qaysomah,0,0,0
2020-03-25,Al Suyariah,0,0,0
2020-03-25,Ar Ruqi,0,0,0
2020-03-25,As Sufairy,0,0,0
2020-03-25,Bqeeq,0,0,0
2020-03-25,Dahran,1,0,0
2020-03-25,Dammam,13,0,0
2020-03-25,Hafr Al Batin,0,0,0
2020-03-25,Hardh,0,0,0
2020-03-25,Hufof,0,0,0
2020-03-25,Jubail,1,0,0
2020-03-25,Khafji,0,0,0
2020-03-25,Khobar,5,0,0
2020-03-25,Mulayjah,0,0,0
2020-03-25,Nairyah,0,0,0
2020-03-25,Qaryat Al Ulya,0,0,0
2020-03-25,Qatif,6,0,0
2020-03-25,Ras Tanura,0,0,0
2020-03-25,Safwa,0,0,0
2020-03-25,Saihat,0,0,0
2020-03-25,Salwa,0,0,0
2020-03-25,Samodah,0,0,0
2020-03-25,Urayarah,0,0,0
2020-03-26,AL Oyoun,0,0,0
2020-03-26,Adh Dhibiyyah,0,0,0
2020-03-26,Al Batahaa,0,0,0
2020-03-26,Al Jafr,0,0,0
2020-03-26,Al Mubarraz,0,0,0
2020-03-26,Al Qaysomah,0,0,0
2020-03-26,Al Suyariah,0,0,0
2020-03-26,Ar Ruqi,0,0,0
2020-03-26,As Sufairy,0,0,0
2020-03-26,Bqeeq,0,0,0
2020-03-26,Dahran,1,0,0
2020-03-26,Dammam,6,0,1
2020-03-26,Hafr Al Batin,0,0,0
2020-03-26,Hardh,0,0,0
2020-03-26,Hufof,2,0,0
2020-03-26,Jubail,0,0,0
2020-03-26,Khafji,1,0,0
2020-03-26,Khobar,2,0,0
2020-03-26,Mulayjah,0,0,0
2020-03-26,Nairyah,0,0,0
2020-03-26,Qaryat Al Ulya,0,0,0
2020-03-26,Qatif,5,0,3
2020-03-26,Ras Tanura,0,0,0
2020-03-26,Safwa,0,0,0
2020-03-26,Saihat,0,0,0
2020-03-26,Salwa,0,0,0
2020-03-26,Samodah,0,0,0
2020-03-26,Urayarah,0,0,0
2020-03-27,AL Oyoun,0,0,0
2020-03-27,Adh Dhibiyyah,0,0,0
2020-03-27,Al Batahaa,0,0,0
2020-03-27,Al Jafr,0,0,0
2020-03-27,Al Mubarraz,0,0,0
2020-03-27,Al Qaysomah,0,0,0
2020-03-27,Al Suyariah,0,0,0
2020-03-27,Ar Ruqi,0,0,0
2020-03-27,As Sufairy,0,0,0
2020-03-27,Bqeeq,0,0,0
2020-03-27,Dahran,2,0,0
2020-03-27,Dammam,4,0,0
2020-03-27,Hafr Al Batin,0,0,0
2020-03-27,Hardh,0,0,0
2020-03-27,Hufof,1,0,0
2020-03-27,Jubail,0,0,0
2020-03-27,Khafji,0,0,0
2020-03-27,Khobar,1,0,0
2020-03-27,Mulayjah,0,0,0
2020-03-27,Nairyah,0,0,0
2020-03-27,Qaryat Al Ulya,0,0,0
2020-03-27,Qatif,10,0,0
2020-03-27,Ras Tanura,0,0,0
2020-03-27,Safwa,0,0,0
2020-03-27,Saihat,0,0,0
2020-03-27,Salwa,0,0,0
2020-03-27,Samodah,0,0,0
2020-03-27,Urayarah,0,0,0
2020-03-28,AL Oyoun,0,0,0
2020-03-28,Adh Dhibiyyah,0,0,0
2020-03-28,Al Batahaa,0,0,0
2020-03-28,Al Jafr,0,0,0
2020-03-28,Al Mubarraz,0,0,0
2020-03-28,Al Qaysomah,0,0,0
2020-03-28,Al Suyariah,0,0,0
2020-03-28,Ar Ruqi,0,0,0
2020-03-28,As Sufairy,0,0,0
2020-03-28,Bqeeq,0,0,0
2020-03-28,Dahran,0,0,0
2020-03-28,Dammam,0,0,0
2020-03-28,Hafr Al Batin,0,0,0
2020-03-28,Hardh,0,0,0
2020-03-28,Hufof,1,0,0
2020-03-28,Jubail,0,0,0
2020-03-28,Khafji,0,0,0
2020-03-28,Khobar,1,0,0
2020-03-28,Mulayjah,0,0,0
2020-03-28,Nairyah,0,0,0
2020-03-28,Qaryat Al Ulya,0,0,0
2020-03-28,Qatif,12,0,0
2020-03-28,Ras Tanura,0,0,0
2020-03-28,Safwa,0,0,0
2020-03-28,Saihat,1,0,0
2020-03-28,Salwa,0,0,0
2020-03-28,Samodah,0,0,0
2020-03-28,Urayarah,0,0,0
2020-03-29,AL Oyoun,0,0,0
2020-03-29,Adh Dhibiyyah,0,0,0
2020-03-29,Al Batahaa,0,0,0
2020-03-29,Al Jafr,0,0,0
2020-03-29,Al Mubarraz,0,0,0
2020-03-29,Al Qaysomah,0,0,0
2020-03-29,Al Suyariah,0,0,0
2020-03-29,Ar Ruqi,0,0,0
2020-03-29,As Sufairy,0,0,0
2020-03-29,Bqeeq,0,0,0
2020-03-29,Dahran,2,0,0
2020-03-29,Dammam,23,0,1
2020-03-29,Hafr Al Batin,0,0,0
2020-03-29,Hardh,0,0,0
2020-03-29,Hufof,1,0,0
2020-03-29,Jubail,0,0,0
2020-03-29,Khafji,0,0,0
2020-03-29,Khobar,4,0,0
2020-03-29,Mulayjah,0,0,0
2020-03-29,Nairyah,0,0,0
2020-03-29,Qaryat Al Ulya,0,0,0
2020-03-29,Qatif,1,0,0
2020-03-29,Ras Tanura,1,0,0
2020-03-29,Safwa,0,0,0
2020-03-29,Saihat,1,0,0
2020-03-29,Salwa,0,0,0
2020-03-29,Samodah,0,0,0
