Date,region,Case,Count
2020-04-14,Mecca,Cases,126
2020-04-14,Medina,Cases,113
2020-04-14,Najran,Cases,0
2020-04-14,Northern Borders,Cases,5
2020-04-14,Qassim,Cases,0
2020-04-14,Riyadh,Cases,57
2020-04-14,Tabuk,Cases,0
2020-04-15,Al Bahah,Cases,0
2020-04-15,Al Jouf,Cases,0
2020-04-15,Asir,Cases,3
2020-04-15,Eastern Region,Cases,54
2020-04-15,Hail,Cases,0
2020-04-15,Jazan,Cases,5
2020-04-15,Mecca,Cases,272
2020-04-15,Medina,Cases,94
2020-04-15,Najran,Cases,0
2020-04-15,Northern Borders,Cases,0
2020-04-15,Qassim,Cases,2
2020-04-15,Riyadh,Cases,86
2020-04-15,Tabuk,Cases,2
2020-04-16,Al Bahah,Cases,0
2020-04-16,Al Jouf,Cases,0
2020-04-16,Asir,Cases,3
2020-04-16,Eastern Region,Cases,60
2020-04-16,Hail,Cases,0
2020-04-16,Jazan,Cases,1
2020-04-16,Mecca,Cases,475
2020-04-16,Medina,Cases,198
2020-04-16,Najran,Cases,1
2020-04-16,Northern Borders,Cases,0
2020-04-16,Qassim,Cases,0
2020-04-16,Riyadh,Cases,24
2020-04-16,Tabuk,Cases,0
2020-04-17,Al Bahah,Cases,0
2020-04-17,Al Jouf,Cases,0
2020-04-17,Asir,Cases,5
2020-04-17,Eastern Region,Cases,128
2020-04-17,Hail,Cases,1
2020-04-17,Jazan,Cases,1
2020-04-17,Mecca,Cases,566
2020-04-17,Medina,Cases,186
2020-04-17,Najran,Cases,0
2020-04-17,Northern Borders,Cases,0
2020-04-17,Qassim,Cases,7
2020-04-17,Riyadh,Cases,225
2020-04-17,Tabuk,Cases,13
2020-04-18,Al Bahah,Cases,1
2020-04-18,Al Jouf,Cases,0
2020-04-18,Asir,Cases,1
2020-04-18,Eastern Region,Cases,327
2020-04-18,Hail,Cases,4
2020-04-18,Jazan,Cases,1
2020-04-18,Mecca,Cases,470
2020-04-18,Medina,Cases,184
2020-04-18,Najran,Cases,0
2020-04-18,Northern Borders,Cases,0
2020-04-18,Qassim,Cases,3
2020-04-18,Riyadh,Cases,95
2020-04-18,Tabuk,Cases,2
2020-04-19,Al Bahah,Cases,0
2020-04-19,Al Jouf,Cases,0
2020-04-19,Asir,Cases,4
2020-04-19,Eastern Region,Cases,185
2020-04-19,Hail,Cases,0
