Date,City,Active cases,Cases,Mortalities,Recoveries,CFR Percent,Recovary Percent
2020-03-11,Ar Ruqi,0,0,0,0,0.0,0.0
2020-03-11,As Sufairy,0,0,0,0,0.0,0.0
2020-03-11,Bqeeq,0,0,0,0,0.0,0.0
2020-03-11,Dahran,0,0,0,0,0.0,0.0
2020-03-11,Dammam,4,4,0,0,0.0,0.0
2020-03-11,Hafr Al Batin,0,0,0,0,0.0,0.0
2020-03-11,Hardh,0,0,0,0,0.0,0.0
2020-03-11,Hufof,0,0,0,0,0.0,0.0
2020-03-11,Jubail,0,0,0,0,0.0,0.0
2020-03-11,Khafji,0,0,0,0,0.0,0.0
2020-03-11,Khobar,0,0,0,0,0.0,0.0
2020-03-11,Mulayjah,0,0,0,0,0.0,0.0
2020-03-11,Nairyah,0,0,0,0,0.0,0.0
2020-03-11,Qaryat Al Ulya,0,0,0,0,0.0,0.0
2020-03-11,Qatif,14,14,0,0,0.0,0.0
2020-03-11,Ras Tanura,0,0,0,0,0.0,0.0
2020-03-11,Safwa,0,0,0,0,0.0,0.0
2020-03-11,Saihat,0,0,0,0,0.0,0.0
2020-03-11,Salwa,0,0,0,0,0.0,0.0
2020-03-11,Samodah,0,0,0,0,0.0,0.0
2020-03-11,Urayarah,0,0,0,0,0.0,0.0
2020-03-12,AL Oyoun,0,0,0,0,0.0,0.0
2020-03-12,Adh Dhibiyyah,0,0,0,0,0.0,0.0
2020-03-12,Al Batahaa,0,0,0,0,0.0,0.0
2020-03-12,Al Jafr,0,0,0,0,0.0,0.0
2020-03-12,Al Mubarraz,0,0,0,0,0.0,0.0
2020-03-12,Al Qaysomah,0,0,0,0,0.0,0.0
2020-03-12,Al Suyariah,0,0,0,0,0.0,0.0
2020-03-12,Ar Ruqi,0,0,0,0,0.0,0.0
2020-03-12,As Sufairy,0,0,0,0,0.0,0.0
2020-03-12,Bqeeq,0,0,0,0,0.0,0.0
2020-03-12,Dahran,0,0,0,0,0.0,0.0
2020-03-12,Dammam,4,4,0,0,0.0,0.0
2020-03-12,Hafr Al Batin,0,0,0,0,0.0,0.0
2020-03-12,Hardh,0,0,0,0,0.0,0.0
2020-03-12,Hufof,0,0,0,0,0.0,0.0
2020-03-12,Jubail,0,0,0,0,0.0,0.0
2020-03-12,Khafji,0,0,0,0,0.0,0.0
2020-03-12,Khobar,0,0,0,0,0.0,0.0
2020-03-12,Mulayjah,0,0,0,0,0.0,0.0
2020-03-12,Nairyah,0,0,0,0,0.0,0.0
2020-03-12,Qaryat Al Ulya,0,0,0,0,0.0,0.0
2020-03-12,Qatif,16,17,0,1,0.0,5.882352941176471
2020-03-12,Ras Tanura,0,0,0,0,0.0,0.0
2020-03-12,Safwa,0,0,0,0,0.0,0.0
2020-03-12,Saihat,0,0,0,0,0.0,0.0
2020-03-12,Salwa,0,0,0,0,0.0,0.0
2020-03-12,Samodah,0,0,0,0,0.0,0.0
2020-03-12,Urayarah,0,0,0,0,0.0,0.0
2020-03-13,AL Oyoun,0,0,0,0,0.0,0.0
2020-03-13,Adh Dhibiyyah,0,0,0,0,0.0,0.0
2020-03-13,Al Batahaa,0,0,0,0,0.0,0.0
2020-03-13,Al Jafr,0,0,0,0,0.0,0.0
2020-03-13,Al Mubarraz,0,0,0,0,0.0,0.0
2020-03-13,Al Qaysomah,0,0,0,0,0.0,0.0
2020-03-13,Al Suyariah,0,0,0,0,0.0,0.0
2020-03-13,Ar Ruqi,0,0,0,0,0.0,0.0
2020-03-13,As Sufairy,0,0,0,0,0.0,0.0
2020-03-13,Bqeeq,0,0,0,0,0.0,0.0
2020-03-13,Dahran,0,0,0,0,0.0,0.0
2020-03-13,Dammam,11,11,0,0,0.0,0.0
2020-03-13,Hafr Al Batin,0,0,0,0,0.0,0.0
2020-03-13,Hardh,0,0,0,0,0.0,0.0
2020-03-13,Hufof,1,1,0,0,0.0,0.0
2020-03-13,Jubail,0,0,0,0,0.0,0.0
2020-03-13,Khafji,0,0,0,0,0.0,0.0
2020-03-13,Khobar,0,0,0,0,0.0,0.0
2020-03-13,Mulayjah,0,0,0,0,0.0,0.0
2020-03-13,Nairyah,0,0,0,0,0.0,0.0
2020-03-13,Qaryat Al Ulya,0,0,0,0,0.0,0.0
2020-03-13,Qatif,19,20,0,1,0.0,5.0
2020-03-13,Ras Tanura,0,0,0,0,0.0,0.0
2020-03-13,Safwa,0,0,0,0,0.0,0.0
2020-03-13,Saihat,0,0,0,0,0.0,0.0
2020-03-13,Salwa,0,0,0,0,0.0,0.0
2020-03-13,Samodah,0,0,0,0,0.0,0.0
2020-03-13,Urayarah,0,0,0,0,0.0,0.0
2020-03-14,AL Oyoun,0,0,0,0,0.0,0.0
2020-03-14,Adh Dhibiyyah,0,0,0,0,0.0,0.0
2020-03-14,Al Batahaa,0,0,0,0,0.0,0.0
2020-03-14,Al Jafr,0,0,0,0,0.0,0.0
2020-03-14,Al Mubarraz,0,0,0,0,0.0,0.0
2020-03-14,Al Qaysomah,0,0,0,0,0.0,0.0
2020-03-14,Al Suyariah,0,0,0,0,0.0,0.0
2020-03-14,Ar Ruqi,0,0,0,0,0.0,0.0
2020-03-14,As Sufairy,0,0,0,0,0.0,0.0
2020-03-14,Bqeeq,0,0,0,0,0.0,0.0
2020-03-14,Dahran,0,0,0,0,0.0,0.0
2020-03-14,Dammam,11,11,0,0,0.0,0.0
2020-03-14,Hafr Al Batin,0,0,0,0,0.0,0.0
2020-03-14,Hardh,0,0,0,0,0.0,0.0
2020-03-14,Hufof,2,2,0,0,0.0,0.0
2020-03-14,Jubail,0,0,0,0,0.0,0.0
2020-03-14,Khafji,0,0,0,0,0.0,0.0
2020-03-14,Khobar,0,0,0,0,0.0,0.0
2020-03-14,Mulayjah,0,0,0,0,0.0,0.0
2020-03-14,Nairyah,0,0,0,0,0.0,0.0
2020-03-14,Qaryat Al Ulya,0,0,0,0,0.0,0.0
2020-03-14,Qatif,21,23,0,2,0.0,8.695652173913043
2020-03-14,Ras Tanura,0,0,0,0,0.0,0.0
2020-03-14,Safwa,0,0,0,0,0.0,0.0
2020-03-14,Saihat,0,0,0,0,0.0,0.0
2020-03-14,Salwa,0,0,0,0,0.0,0.0
2020-03-14,Samodah,0,0,0,0,0.0,0.0
2020-03-14,Urayarah,0,0,0,0,0.0,0.0
2020-03-15,AL Oyoun,0,0,0,0,0.0,0.0
2020-03-15,Adh Dhibiyyah,0,0,0,0,0.0,0.0
2020-03-15,Al Batahaa,0,0,0,0,0.0,0.0
2020-03-15,Al Jafr,0,0,0,0,0.0,0.0
2020-03-15,Al Mubarraz,0,0,0,0,0.0,0.0
2020-03-15,Al Qaysomah,0,0,0,0,0.0,0.0
2020-03-15,Al Suyariah,0,0,0,0,0.0,0.0
2020-03-15,Ar Ruqi,0,0,0,0,0.0,0.0
2020-03-15,As Sufairy,0,0,0,0,0.0,0.0
2020-03-15,Bqeeq,0,0,0,0,0.0,0.0
2020-03-15,Dahran,3,3,0,0,0.0,0.0
2020-03-15,Dammam,11,12,0,1,0.0,8.333333333333334
2020-03-15,Hafr Al Batin,0,0,0,0,0.0,0.0
2020-03-15,Hardh,0,0,0,0,0.0,0.0
2020-03-15,Hufof,2,2,0,0,0.0,0.0
2020-03-15,Jubail,0,0,0,0,0.0,0.0
2020-03-15,Khafji,0,0,0,0,0.0,0.0
2020-03-15,Khobar,0,0,0,0,0.0,0.0
2020-03-15,Mulayjah,0,0,0,0,0.0,0.0
2020-03-15,Nairyah,0,0,0,0,0.0,0.0
2020-03-15,Qaryat Al Ulya,0,0,0,0,0.0,0.0
2020-03-15,Qatif,28,30,0,2,0.0,6.666666666666667
2020-03-15,Ras Tanura,0,0,0,0,0.0,0.0
2020-03-15,Safwa,0,0,0,0,0.0,0.0
2020-03-15,Saihat,0,0,0,0,0.0,0.0
2020-03-15,Salwa,0,0,0,0,0.0,0.0
2020-03-15,Samodah,0,0,0,0,0.0,0.0
2020-03-15,Urayarah,0,0,0,0,0.0,0.0
2020-03-16,AL Oyoun,0,0,0,0,0.0,0.0
2020-03-16,Adh Dhibiyyah,0,0,0,0,0.0,0.0
2020-03-16,Al Batahaa,0,0,0,0,0.0,0.0
2020-03-16,Al Jafr,0,0,0,0,0.0,0.0
2020-03-16,Al Mubarraz,0,0,0,0,0.0,0.0
2020-03-16,Al Qaysomah,0,0,0,0,0.0,0.0
2020-03-16,Al Suyariah,0,0,0,0,0.0,0.0
2020-03-16,Ar Ruqi,0,0,0,0,0.0,0.0
2020-03-16,As Sufairy,0,0,0,0,0.0,0.0
2020-03-16,Bqeeq,0,0,0,0,0.0,0.0
2020-03-16,Dahran,4,4,0,0,0.0,0.0
2020-03-16,Dammam,11,12,0,1,0.0,8.333333333333334
2020-03-16,Hafr Al Batin,0,0,0,0,0.0,0.0
2020-03-16,Hardh,0,0,0,0,0.0,0.0
2020-03-16,Hufof,2,2,0,0,0.0,0.0
2020-03-16,Jubail,0,0,0,0,0.0,0.0
2020-03-16,Khafji,0,0,0,0,0.0,0.0
2020-03-16,Khobar,0,0,0,0,0.0,0.0
2020-03-16,Mulayjah,0,0,0,0,0.0,0.0
2020-03-16,Nairyah,0,0,0,0,0.0,0.0
2020-03-16,Qaryat Al Ulya,0,0,0,0,0.0,0.0
2020-03-16,Qatif,26,31,0,5,0.0,16.129032258064516
2020-03-16,Ras Tanura,0,0,0,0,0.0,0.0
2020-03-16,Safwa,0,0,0,0,0.0,0.0
2020-03-16,Saihat,0,0,0,0,0.0,0.0
2020-03-16,Salwa,0,0,0,0,0.0,0.0
2020-03-16,Samodah,0,0,0,0,0.0,0.0
2020-03-16,Urayarah,0,0,0,0,0.0,0.0
2020-03-17,AL Oyoun,0,0,0,0,0.0,0.0
2020-03-17,Adh Dhibiyyah,0,0,0,0,0.0,0.0
2020-03-17,Al Batahaa,0,0,0,0,0.0,0.0
2020-03-17,Al Jafr,0,0,0,0,0.0,0.0
2020-03-17,Al Mubarraz,0,0,0,0,0.0,0.0
2020-03-17,Al Qaysomah,0,0,0,0,0.0,0.0
2020-03-17,Al Suyariah,0,0,0,0,0.0,0.0
2020-03-17,Ar Ruqi,0,0,0,0,0.0,0.0
