Date,region,Active cases,Cases,Mortalities,Recoveries,CFR Percent,Recovary Percent
2020-03-25,Hail,0,0,0,0,0.0,0.0
2020-03-25,Jazan,7,7,0,0,0.0,0.0
2020-03-25,Mecca,287,297,1,9,0.3367003367003367,3.0303030303030303
2020-03-25,Medina,7,8,1,0,12.5,0.0
2020-03-25,Najran,13,13,0,0,0.0,0.0
2020-03-25,Northern Borders,2,2,0,0,0.0,0.0
2020-03-25,Qassim,1,1,0,0,0.0,0.0
2020-03-25,Riyadh,361,370,0,9,0.0,2.4324324324324325
2020-03-25,Tabuk,1,1,0,0,0.0,0.0
2020-03-26,Al Bahah,13,13,0,0,0.0,0.0
2020-03-26,Al Jouf,0,0,0,0,0.0,0.0
2020-03-26,Asir,24,24,0,0,0.0,0.0
2020-03-26,Eastern Region,166,181,0,15,0.0,8.287292817679559
2020-03-26,Hail,0,0,0,0,0.0,0.0
2020-03-26,Jazan,7,7,0,0,0.0,0.0
2020-03-26,Mecca,344,354,1,9,0.2824858757062147,2.542372881355932
2020-03-26,Medina,9,11,2,0,18.181818181818183,0.0
2020-03-26,Najran,13,13,0,0,0.0,0.0
2020-03-26,Northern Borders,2,2,0,0,0.0,0.0
2020-03-26,Qassim,2,2,0,0,0.0,0.0
2020-03-26,Riyadh,395,404,0,9,0.0,2.227722772277228
2020-03-26,Tabuk,1,1,0,0,0.0,0.0
2020-03-27,Al Bahah,13,13,0,0,0.0,0.0
2020-03-27,Al Jouf,0,0,0,0,0.0,0.0
2020-03-27,Asir,24,24,0,0,0.0,0.0
2020-03-27,Eastern Region,184,199,0,15,0.0,7.5376884422110555
2020-03-27,Hail,0,0,0,0,0.0,0.0
2020-03-27,Jazan,7,7,0,0,0.0,0.0
2020-03-27,Mecca,351,361,1,9,0.2770083102493075,2.4930747922437675
2020-03-27,Medina,28,30,2,0,6.666666666666667,0.0
2020-03-27,Najran,13,13,0,0,0.0,0.0
2020-03-27,Northern Borders,2,2,0,0,0.0,0.0
2020-03-27,Qassim,4,4,0,0,0.0,0.0
2020-03-27,Riyadh,439,450,0,11,0.0,2.4444444444444446
2020-03-27,Tabuk,1,1,0,0,0.0,0.0
2020-03-28,Al Bahah,13,13,0,0,0.0,0.0
2020-03-28,Al Jouf,0,0,0,0,0.0,0.0
2020-03-28,Asir,28,28,0,0,0.0,0.0
2020-03-28,Eastern Region,199,214,0,15,0.0,7.009345794392523
2020-03-28,Hail,0,0,0,0,0.0,0.0
2020-03-28,Jazan,7,7,0,0,0.0,0.0
2020-03-28,Mecca,381,391,1,9,0.2557544757033248,2.3017902813299234
2020-03-28,Medina,34,36,2,0,5.555555555555555,0.0
2020-03-28,Najran,13,13,0,0,0.0,0.0
2020-03-28,Northern Borders,2,2,0,0,0.0,0.0
2020-03-28,Qassim,4,4,0,0,0.0,0.0
2020-03-28,Riyadh,477,491,1,13,0.20366598778004075,2.6476578411405294
2020-03-28,Tabuk,4,4,0,0,0.0,0.0
2020-03-29,Al Bahah,13,13,0,0,0.0,0.0
2020-03-29,Al Jouf,0,0,0,0,0.0,0.0
2020-03-29,Asir,28,29,0,1,0.0,3.4482758620689653
2020-03-29,Eastern Region,231,247,0,16,0.0,6.477732793522267
2020-03-29,Hail,0,0,0,0,0.0,0.0
2020-03-29,Jazan,7,7,0,0,0.0,0.0
2020-03-29,Mecca,372,411,3,36,0.7299270072992701,8.75912408759124
2020-03-29,Medina,46,50,4,0,8.0,0.0
2020-03-29,Najran,13,13,0,0,0.0,0.0
2020-03-29,Northern Borders,2,2,0,0,0.0,0.0
2020-03-29,Qassim,4,4,0,0,0.0,0.0
2020-03-29,Riyadh,504,518,1,13,0.19305019305019305,2.5096525096525095
2020-03-29,Tabuk,5,5,0,0,0.0,0.0
2020-03-30,Al Bahah,13,13,0,0,0.0,0.0
2020-03-30,Al Jouf,0,0,0,0,0.0,0.0
2020-03-30,Asir,29,30,0,1,0.0,3.3333333333333335
2020-03-30,Eastern Region,282,299,0,17,0.0,5.68561872909699
2020-03-30,Hail,0,0,0,0,0.0,0.0
2020-03-30,Jazan,8,8,0,0,0.0,0.0
2020-03-30,Mecca,377,462,3,82,0.6493506493506493,17.748917748917748
2020-03-30,Medina,69,73,4,0,5.47945205479452,0.0
2020-03-30,Najran,13,13,0,0,0.0,0.0
2020-03-30,Northern Borders,2,2,0,0,0.0,0.0
2020-03-30,Qassim,6,6,0,0,0.0,0.0
2020-03-30,Riyadh,525,541,1,15,0.18484288354898337,2.7726432532347505
2020-03-30,Tabuk,6,6,0,0,0.0,0.0
2020-03-31,Al Bahah,13,13,0,0,0.0,0.0
2020-03-31,Al Jouf,0,0,0,0,0.0,0.0
2020-03-31,Asir,31,32,0,1,0.0,3.125
2020-03-31,Eastern Region,299,319,0,20,0.0,6.269592476489028
2020-03-31,Hail,0,0,0,0,0.0,0.0
2020-03-31,Jazan,10,10,0,0,0.0,0.0
2020-03-31,Mecca,386,511,3,122,0.5870841487279843,23.874755381604697
2020-03-31,Medina,70,76,6,0,7.894736842105263,0.0
2020-03-31,Najran,13,13,0,0,0.0,0.0
2020-03-31,Northern Borders,2,2,0,0,0.0,0.0
2020-03-31,Qassim,7,7,0,0,0.0,0.0
2020-03-31,Riyadh,551,574,1,22,0.17421602787456447,3.832752613240418
2020-03-31,Tabuk,6,6,0,0,0.0,0.0
2020-04-01,Al Bahah,13,13,0,0,0.0,0.0
2020-04-01,Al Jouf,0,0,0,0,0.0,0.0
2020-04-01,Asir,31,32,0,1,0.0,3.125
2020-04-01,Eastern Region,295,328,0,33,0.0,10.060975609756097
2020-04-01,Hail,0,0,0,0,0.0,0.0
2020-04-01,Jazan,7,10,0,3,0.0,30.0
2020-04-01,Mecca,388,571,4,179,0.7005253940455342,31.34851138353765
2020-04-01,Medina,144,154,10,0,6.4935064935064934,0.0
2020-04-01,Najran,12,13,0,1,0.0,7.6923076923076925
2020-04-01,Northern Borders,2,2,0,0,0.0,0.0
2020-04-01,Qassim,7,8,0,1,0.0,12.5
2020-04-01,Riyadh,533,581,2,46,0.3442340791738382,7.917383820998279
2020-04-01,Tabuk,8,8,0,0,0.0,0.0
2020-04-02,Al Bahah,13,13,0,0,0.0,0.0
2020-04-02,Al Jouf,0,0,0,0,0.0,0.0
2020-04-02,Asir,34,42,1,7,2.380952380952381,16.666666666666668
2020-04-02,Eastern Region,310,352,1,41,0.2840909090909091,11.647727272727273
2020-04-02,Hail,0,0,0,0,0.0,0.0
2020-04-02,Jazan,3,10,0,7,0.0,70.0
2020-04-02,Mecca,444,649,4,201,0.6163328197226502,30.970724191063173
2020-04-02,Medina,185,200,13,2,6.5,1.0
2020-04-02,Najran,-1,13,0,14,0.0,107.6923076923077
2020-04-02,Northern Borders,0,2,0,2,0.0,100.0
2020-04-02,Qassim,7,8,0,1,0.0,12.5
2020-04-02,Riyadh,533,588,2,53,0.3401360544217687,9.013605442176871
2020-04-02,Tabuk,8,8,0,0,0.0,0.0
2020-04-03,Al Bahah,13,13,0,0,0.0,0.0
2020-04-03,Al Jouf,0,0,0,0,0.0,0.0
2020-04-03,Asir,32,45,1,12,2.2222222222222223,26.666666666666668
2020-04-03,Eastern Region,325,371,1,45,0.2695417789757412,12.129380053908356
2020-04-03,Hail,0,0,0,0,0.0,0.0
2020-04-03,Jazan,3,10,0,7,0.0,70.0
2020-04-03,Mecca,484,700,5,211,0.7142857142857143,30.142857142857142
2020-04-03,Medina,214,234,16,4,6.837606837606837,1.7094017094017093
2020-04-03,Najran,2,16,0,14,0.0,87.5
2020-04-03,Northern Borders,0,2,0,2,0.0,100.0
2020-04-03,Qassim,19,20,0,1,0.0,5.0
2020-04-03,Riyadh,544,601,2,55,0.33277870216306155,9.151414309484194
2020-04-03,Tabuk,27,27,0,0,0.0,0.0
2020-04-04,Al Bahah,9,13,0,4,0.0,30.76923076923077
2020-04-04,Al Jouf,0,0,0,0,0.0,0.0
2020-04-04,Asir,26,47,1,20,2.127659574468085,42.5531914893617
2020-04-04,Eastern Region,353,403,1,49,0.24813895781637718,12.158808933002481
2020-04-04,Hail,0,0,0,0,0.0,0.0
2020-04-04,Jazan,-2,11,0,13,0.0,118.18181818181819
2020-04-04,Mecca,501,757,7,249,0.9247027741083224,32.89299867899604
2020-04-04,Medina,214,236,18,4,7.627118644067797,1.694915254237288
2020-04-04,Najran,1,16,0,15,0.0,93.75
2020-04-04,Northern Borders,0,2,0,2,0.0,100.0
2020-04-04,Qassim,19,21,0,2,0.0,9.523809523809524
2020-04-04,Riyadh,619,683,2,62,0.29282576866764276,9.077598828696924
2020-04-04,Tabuk,32,32,0,0,0.0,0.0
2020-04-05,Al Bahah,10,14,0,4,0.0,28.571428571428573
2020-04-05,Al Jouf,0,0,0,0,0.0,0.0
2020-04-05,Asir,33,55,1,21,1.8181818181818181,38.18181818181818
2020-04-05,Eastern Region,378,432,1,53,0.23148148148148148,12.268518518518519
2020-04-05,Hail,0,0,0,0,0.0,0.0
2020-04-05,Jazan,-2,11,0,13,0.0,118.18181818181819
2020-04-05,Mecca,594,855,10,251,1.1695906432748537,29.35672514619883
2020-04-05,Medina,219,242,19,4,7.851239669421488,1.6528925619834711
2020-04-05,Najran,1,16,0,15,0.0,93.75
2020-04-05,Northern Borders,0,2,0,2,0.0,100.0
2020-04-05,Qassim,19,21,0,2,0.0,9.523809523809524
2020-04-05,Riyadh,594,720,3,123,0.4166666666666667,17.083333333333332
2020-04-05,Tabuk,34,34,0,0,0.0,0.0
2020-04-06,Al Bahah,10,14,0,4,0.0,28.571428571428573
2020-04-06,Al Jouf,0,0,0,0,0.0,0.0
2020-04-06,Asir,44,69,1,24,1.4492753623188406,34.78260869565217
2020-04-06,Eastern Region,394,453,2,57,0.44150110375275936,12.582781456953642
2020-04-06,Hail,0,0,0,0,0.0,0.0
2020-04-06,Jazan,5,18,0,13,0.0,72.22222222222223
2020-04-06,Mecca,666,929,12,251,1.2917115177610334,27.018299246501616
2020-04-06,Medina,231,254,19,4,7.480314960629921,1.5748031496062993
2020-04-06,Najran,7,23,0,16,0.0,69.56521739130434
