Date,City,Case,Count
2020-03-19,Al Mubarraz,Active cases,0
2020-03-19,Al Qaysomah,Active cases,0
2020-03-19,Al Suyariah,Active cases,0
2020-03-19,Ar Ruqi,Active cases,0
2020-03-19,As Sufairy,Active cases,0
2020-03-19,Bqeeq,Active cases,0
2020-03-19,Dahran,Active cases,8
2020-03-19,Dammam,Active cases,35
2020-03-19,Hafr Al Batin,Active cases,0
2020-03-19,Hardh,Active cases,0
2020-03-19,Hufof,Active cases,4
2020-03-19,Jubail,Active cases,0
2020-03-19,Khafji,Active cases,0
2020-03-19,Khobar,Active cases,0
2020-03-19,Mulayjah,Active cases,0
2020-03-19,Nairyah,Active cases,0
2020-03-19,Qaryat Al Ulya,Active cases,0
2020-03-19,Qatif,Active cases,40
2020-03-19,Ras Tanura,Active cases,0
2020-03-19,Safwa,Active cases,0
2020-03-19,Saihat,Active cases,0
2020-03-19,Salwa,Active cases,0
2020-03-19,Samodah,Active cases,0
2020-03-19,Urayarah,Active cases,0
2020-03-20,AL Oyoun,Active cases,0
2020-03-20,Adh Dhibiyyah,Active cases,0
2020-03-20,Al Batahaa,Active cases,0
2020-03-20,Al Jafr,Active cases,0
2020-03-20,Al Mubarraz,Active cases,0
2020-03-20,Al Qaysomah,Active cases,0
2020-03-20,Al Suyariah,Active cases,0
2020-03-20,Ar Ruqi,Active cases,0
2020-03-20,As Sufairy,Active cases,0
2020-03-20,Bqeeq,Active cases,0
2020-03-20,Dahran,Active cases,9
2020-03-20,Dammam,Active cases,36
2020-03-20,Hafr Al Batin,Active cases,1
2020-03-20,Hardh,Active cases,0
2020-03-20,Hufof,Active cases,4
2020-03-20,Jubail,Active cases,0
2020-03-20,Khafji,Active cases,0
2020-03-20,Khobar,Active cases,0
2020-03-20,Mulayjah,Active cases,0
2020-03-20,Nairyah,Active cases,0
2020-03-20,Qaryat Al Ulya,Active cases,0
2020-03-20,Qatif,Active cases,41
2020-03-20,Ras Tanura,Active cases,0
2020-03-20,Safwa,Active cases,0
2020-03-20,Saihat,Active cases,0
2020-03-20,Salwa,Active cases,0
2020-03-20,Samodah,Active cases,0
2020-03-20,Urayarah,Active cases,0
2020-03-21,AL Oyoun,Active cases,0
2020-03-21,Adh Dhibiyyah,Active cases,0
2020-03-21,Al Batahaa,Active cases,0
2020-03-21,Al Jafr,Active cases,0
2020-03-21,Al Mubarraz,Active cases,0
2020-03-21,Al Qaysomah,Active cases,0
2020-03-21,Al Suyariah,Active cases,0
2020-03-21,Ar Ruqi,Active cases,0
2020-03-21,As Sufairy,Active cases,0
2020-03-21,Bqeeq,Active cases,0
2020-03-21,Dahran,Active cases,9
2020-03-21,Dammam,Active cases,36
2020-03-21,Hafr Al Batin,Active cases,1
2020-03-21,Hardh,Active cases,0
2020-03-21,Hufof,Active cases,6
2020-03-21,Jubail,Active cases,0
2020-03-21,Khafji,Active cases,0
2020-03-21,Khobar,Active cases,0
2020-03-21,Mulayjah,Active cases,0
2020-03-21,Nairyah,Active cases,1
2020-03-21,Qaryat Al Ulya,Active cases,0
2020-03-21,Qatif,Active cases,41
2020-03-21,Ras Tanura,Active cases,0
